timestamp	official_discovered_entries	retailer_entries	cached_tds_entries	cached_tds_errors	seeded_products	missing_seed_products	coverage_ratio	action	cycle_label
2026-04-21T01:18:51.939653+00:00	481	19	77	8	484	313	0.353	keep	discover + retailer + cache + audit cycle
2026-04-21T02:20:44.202711+00:00	481	22	90	0	484	308	0.364	keep	discover + retailer + cache + audit cycle
2026-04-21T03:22:42.256419+00:00	481	20	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T04:24:53.616069+00:00	481	20	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T05:26:51.475735+00:00	481	22	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T06:29:50.505082+00:00	481	22	95	2	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T07:32:02.208929+00:00	481	21	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T08:34:07.697815+00:00	481	20	96	1	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T09:36:10.359842+00:00	481	20	96	1	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T10:38:21.267886+00:00	481	20	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T11:40:19.684511+00:00	481	15	96	1	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T12:42:23.364097+00:00	481	18	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T13:44:47.362339+00:00	471	14	97	0	482	301	0.376	keep	discover + retailer + cache + audit cycle
2026-04-21T14:47:03.449099+00:00	471	19	97	0	482	301	0.376	keep	discover + retailer + cache + audit cycle
2026-04-21T15:49:27.411160+00:00	481	15	95	2	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T16:51:31.433204+00:00	481	11	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T17:53:39.034220+00:00	481	14	97	0	484	301	0.378	keep	discover + retailer + cache + audit cycle
2026-04-21T18:56:04.819771+00:00	481	9	100	0	484	298	0.384	keep	discover + retailer + cache + audit cycle
2026-04-21T19:58:24.389332+00:00	481	14	107	0	484	292	0.397	keep	discover + retailer + cache + audit cycle
2026-04-21T21:00:56.084396+00:00	481	8	106	1	484	292	0.397	keep	discover + retailer + cache + audit cycle
2026-04-21T22:03:49.838834+00:00	481	8	114	1	484	283	0.415	keep	discover + retailer + cache + audit cycle
2026-04-21T23:06:28.565950+00:00	481	7	116	1	484	281	0.419	keep	discover + retailer + cache + audit cycle
2026-04-22T00:08:56.278370+00:00	481	9	117	0	484	281	0.419	keep	discover + retailer + cache + audit cycle
2026-04-22T01:11:40.772745+00:00	481	4	116	1	484	281	0.419	keep	discover + retailer + cache + audit cycle
2026-04-22T02:14:07.754579+00:00	481	0	116	1	484	281	0.419	keep	discover + retailer + cache + audit cycle
2026-04-22T03:16:33.411341+00:00	481	0	116	1	484	281	0.419	keep	discover + retailer + cache + audit cycle
2026-04-22T04:19:06.383495+00:00	481	2	117	0	484	281	0.419	keep	discover + retailer + cache + audit cycle
