Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Features","For Use With/Related Products","URL"
"http://www.chipquik.com/datasheets/EGS10C-20G.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_EGS10C-20G.jpg","EGS10C-20G-ND","EGS10C-20G","Chip Quik Inc.","Chip Quik Inc.","ELECTRONICS GRADE SILICONE ADHES","1,513","4.95","0","1","Bulk","CHIPQUIK®","Active","Adhesive Sealant","Clear, Non-Corrosive, 20mL","Sealing Electronic Components","https://www.digikey.com/en/products/detail/chip-quik-inc/EGS10C-20G/10059587"
"https://multimedia.3m.com/mws/media/153955O/3mtm-scotch-weldtm-epoxy-adhesive-2216-b-a.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4451/DP221641.5ML.jpg","19-DP221641.5ML-ND","DP2216 41.5ML","3M","3M","SCOTCH-WELD EPOXY ADHESIVE E","3,985","46.07","0","1","Bulk","Scotch-Weld™ DP2216","Active","Epoxy, 2 Part","Gray, High Strength, 41.5mL","Masonry, Metal, Rubber, Wood","https://www.digikey.com/en/products/detail/3m/DP2216-41-5ML/16549694"
"https://www.momentive.com/content/dam/momentive/en-us/products/tds/snapsil/snapsil-rtv162.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1220/MFG_RTV162-85ML.jpg","473-1204-ND","RTV162-85ML","Momentive Performance Materials","MG Chemicals","ADHESIVE SEAL SIL NON-CORROSIVE","1,477","95.72","0","1","Bulk","RTV","Active","Potting Compound, 1 Part","-","Non Corrosive","https://www.digikey.com/en/products/detail/mg-chemicals/RTV162-85ML/1972156"
"https://datasheets.tdx.henkel.com/LOCTITE-SI-5011CL-en_GL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1283/234323.JPG","1000-127-ND","234323","LOCTITE","LOCTITE","LOCTITE NC RTV SIL CL 80ML","652","33.33","0","1","Bulk","LOCTITE® Superflex®","Active","Silicone","Clear, Non-Corrosive, 80mL","Multi-Purpose","https://www.digikey.com/en/products/detail/loctite/234323/4833001"
"https://www.mgchemicals.com/downloads/tds/tds-8330S-2parts.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/657/MFG_8330S-21G.jpg","473-1177-ND","8330S-21G","MG Chemicals","MG Chemicals","SILVER CONDUC EPOXY 21G SYR","208","268.26","0","1","Bulk","8330S","Active","Epoxy, 2 Part","Electrically Conductive","Steel, Aluminum, Plastic, Rubber, Glass","https://www.digikey.com/en/products/detail/mg-chemicals/8330S-21G/4040841"
"https://www.mgchemicals.com/downloads/tds/tds-9410.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/332/MFG_9410-3ML.jpg","473-9410-3ML-ND","9410-3ML","MG Chemicals","MG Chemicals","EPOXY 1-PART ELECT COND HIGH TG","130","73.62","0","1","Bag","9410","Active","Epoxy","Electrically Conductive, Silver, 3mL","Plastics, Metal","https://www.digikey.com/en/products/detail/mg-chemicals/9410-3ML/10222582"
"https://multimedia.3m.com/mws/media/153955O/3mtm-scotch-weldtm-epoxy-adhesive-2216-b-a.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/315/2216-GRAY-1P-PARTAB.jpg","3M158692-ND","2216-GRAY-1P-PARTAB","3M","3M","SCOTCH-WELD EPOXY ADHESIVE 2","47","324.89","0","1","Box","Scotch-Weld™ 2216","Active","Epoxy, 2 Part","Gray, 1 Pint","Steel, Aluminum, Plastic, Rubber, Glass","https://www.digikey.com/en/products/detail/3m/2216-GRAY-1P-PARTAB/7066620"
"https://www.chemtronics.com/content/msds/TDS_CW2400.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1251/CW2400.JPG","CW2400-ND","CW2400","Chemtronics","Chemtronics","EPOXY","340","137.91","0","1","Bulk","CircuitWorks®","Active","Epoxy, 2 Part","Conductive","Sealing Electronic Components","https://www.digikey.com/en/products/detail/chemtronics/CW2400/5177670"
"https://www.momentive.com/content/dam/momentive/en-us/products/tds/snapsil/snapsil-rtv162.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4042/MFG_RTV162-300ML.jpg","473-1203-ND","RTV162-300ML","Momentive Performance Materials","MG Chemicals","ADHESIVE SEAL SIL NON-CORROSIVE","579","196.81","0","1","Bulk","RTV","Active","Potting Compound, 1 Part","-","Non Corrosive","https://www.digikey.com/en/products/detail/mg-chemicals/RTV162-300ML/1972157"
"https://www.mgchemicals.com/downloads/tds/tds-8331S-2parts.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/657/MFG_8331S-15G.jpg","473-1178-ND","8331S-15G","MG Chemicals","MG Chemicals","SILVER CONDUC EPOXY 15G SYR","526","195.53","0","1","Bulk","8331S","Active","Epoxy, 2 Part","Electrically Conductive","Steel, Aluminum, Plastic, Rubber, Glass","https://www.digikey.com/en/products/detail/mg-chemicals/8331S-15G/4040840"
"https://multimedia.3m.com/mws/media/2365950O/3m-scotch-weld-epoxy-adhesive-dp100fr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/309/DP100FR-CREAM.JPG","3M157684-ND","DP100FR-CREAM","3M","3M","EPOXY ADH DP100FR 48.5ML","814","47.66","0","1","Bulk","Scotch-Weld™ DP100FR","Active","Epoxy, 2 Part","Cream, 48.5mL, Flame Retardant","Fire Barriers","https://www.digikey.com/en/products/detail/3m/DP100FR-CREAM/8635640"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/860/RTV108.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/383/RTV108-85ML.jpg","473-1139-ND","RTV108-85ML","Momentive Performance Materials","MG Chemicals","ADHESIVE SEALANT SIL TRANSLUCENT","855","28.48","0","1","Bulk","RTV","Active","Potting Compound, 1 Part","High Strength","Multi-Purpose","https://www.digikey.com/en/products/detail/mg-chemicals/RTV108-85ML/1972152"
"https://www.mgchemicals.com/downloads/tds/tds-8331D-2parts.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4489/8331D-14G.jpg","473-8331D-14G-ND","8331D-14G","MG Chemicals","MG Chemicals","SILVER CONDUCTIVE EPOXY 0.52 OZ","554","199.14","0","1","Bulk","8331D","Active","Epoxy, 2 Part","Electrically Conductive","Electronics","https://www.digikey.com/en/products/detail/mg-chemicals/8331D-14G/13170710"
"https://www.mgchemicals.com/downloads/tds/tds-847.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/909/MFG_847-25ML.jpg","473-1230-ND","847-25ML","MG Chemicals","MG Chemicals","CARBON CONDUCTIVE PASTE","337","41.18","0","1","Bulk","847","Active","Adhesive","Electrically Conductive","Multi-Purpose","https://www.digikey.com/en/products/detail/mg-chemicals/847-25ML/6035521"
"https://datasheets.tdx.henkel.com/LOCTITE-SI-5011CL-en_GL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1816/234325.JPG","1000-128-ND","234325","LOCTITE","LOCTITE","LOCTITE NC RTV SIL CL 300ML","219","82.94","0","1","Bulk","LOCTITE® Superflex®","Active","Silicone","Clear, Non-Corrosive, 300mL","Multi-Purpose","https://www.digikey.com/en/products/detail/loctite/234325/4833002"
"https://datasheets.tdx.henkel.com/LOCTITE-SI-5140-en_GL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/1045/135264.JPG","1000-111-ND","135264","LOCTITE","LOCTITE","SI 5140 METHOXY 85 GR TB/BN","572","71.08","0","1","Bulk","LOCTITE® 5140™","Active","Potting Compound, 1 Part","Non-Corrosive","Potting","https://www.digikey.com/en/products/detail/loctite/135264/2486659"
"http://images.salsify.com/image/upload/s--243oU6A1--/5c966ac2eb5437a685aa022fe5819d79c1768b79.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/8887/MFG_30NF.jpg","3M158842-ND","30NF","3M","3M","FASTBOND CONTACT ADHESIVE 30","103","71.04","0","1","Box","Fastbond™","Active","Adhesive","Flame Retardant, Heat Resistant, High Strength","Multi-Purpose","https://www.digikey.com/en/products/detail/3m/30NF/7364284"
"https://multimedia.3m.com/mws/media/66773O/3mtm-scotch-weldtm-epoxy-potting-compound-adhesive-dp270.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/8335/MFG_19_DP270-BLACK.jpg","3M157674-ND","DP270-BLACK","3M","3M","POTTING COMPOUND BLACK 48.5ML","1,224","43.78","0","1","Bulk","Scotch-Weld™ DP270","Active","Epoxy, 2 Part","Black, 48.5mL","Potting","https://www.digikey.com/en/products/detail/3m/DP270-BLACK/8635630"
"https://datasheets.tdx.henkel.com/LOCTITE-3621-en_GL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/378/235132.JPG","1000-114-ND","235132","LOCTITE","LOCTITE","3621 DISPENS 30ML CHIPBONDER","94","91.77","0","1","Bulk","LOCTITE® 3621™","Active","Epoxy","Heat Cure","SMD Components to PCB","https://www.digikey.com/en/products/detail/loctite/235132/2486662"
"https://3m.citrination.com/pif/000175","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4897/MFG_DP604NS-BLACK.jpg","DP604NS-BLACK-ND","DP604NS-BLACK","3M","3M","URETHANE ADH BLACK 48.5ML","181","38.48","0","1","Bulk","Scotch-Weld™ DP640NS","Active","Urethane","Fast Cure, Black, 48.5mL","Masonry, Metal, Wood","https://www.digikey.com/en/products/detail/3m/DP604NS-BLACK/8635899"
"http://www.chipquik.com/datasheets/AD7-5S.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6453/MFG_AD7-5S.jpg","315-AD7-5S-ND","AD7-5S","Chip Quik Inc.","Chip Quik Inc.","THERMOSET CHIP BONDING EPOXY (RE","80","13.95","0","1","Bulk","CHIPQUIK®","Active","Epoxy","Heat Cure, Red","PCB","https://www.digikey.com/en/products/detail/chip-quik-inc/AD7-5S/25656527"
"https://datasheets.tdx.henkel.com/LOCTITE-SI-5145-en_GL.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/657/230079.jpg","1000-120-ND","230079","LOCTITE","LOCTITE","SI 5145 RTV SILICONE 300ML CQ/BN","58","164","0","1","Bulk","LOCTITE® 5145™","Active","Silicone","Non-Corrosive","Sealing Electronic Components","https://www.digikey.com/en/products/detail/loctite/230079/2499380"
"https://www.mgchemicals.com/downloads/tds/Momentive/RTV60.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2216/RTV60-1P.JPG","473-1253-ND","RTV60-1P","Momentive Performance Materials","MG Chemicals","POTTING COMPOUND RED HIGH TEMP","110","285.6","0","1","Bulk","RTV","Active","Potting Compound, 2 Part","High Temperature","Multi-Purpose","https://www.digikey.com/en/products/detail/mg-chemicals/RTV60-1P/1972143"
"https://multimedia.3m.com/mws/media/153955O/3mtm-scotch-weldtm-epoxy-adhesive-2216-b-a.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/2216-GRAY-1Q-PARTAB.jpg","3M158693-ND","2216-GRAY-1Q-PARTAB","3M","3M","SCOTCH-WELD EPOXY ADHESIVE 2","79","421.04","0","1","Box","Scotch-Weld™ 2216","Active","Epoxy, 2 Part","Gray, 1 Quart","Steel, Aluminum, Plastic, Rubber, Glass","https://www.digikey.com/en/products/detail/3m/2216-GRAY-1Q-PARTAB/7066621"
"http://www.chipquik.com/datasheets/EGS10B-20G.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/MFG_EGS10B-20G.jpg","EGS10B-20G-ND","EGS10B-20G","Chip Quik Inc.","Chip Quik Inc.","ELECTRONICS GRADE SILICONE ADHES","601","4.95","0","1","Bulk","CHIPQUIK®","Active","Adhesive Sealant","Black, Non-Corrosive, 20mL","Sealing Electronic Components","https://www.digikey.com/en/products/detail/chip-quik-inc/EGS10B-20G/10059588"
"http://www.resintech.co.uk/downloads/tds/RT125.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2644/MFG_RT125-DS-050.jpg","4335-RT125-DS-050-ND","RT125-DS-050","ResinTech","Traktronix","FLEXIBLE 2 PART EPOXY 50ML BLACK","19","42.99","0","1","Bulk","*","Active","Epoxy, 2 Part","Black, 50mL","Glass, Metals, Plastics, Rubbers, Wood","https://www.digikey.com/en/products/detail/traktronix/RT125-DS-050/16546554"
